Region,RegionID,District,DistrictID,Const,ConstID,Candidate,Party,Sex,Valid Votes,Spoilt Votes,%
2347,ARUSHA,265,WILAYA YA KARATU,3,KARATU,MCHUNGAJI CHRISTOPHER MTIKILA,DP,M,20,4247,0
Region,RegionID,District,DistrictID,Const,ConstID,Candidate,Party,Sex,Valid Votes,Spoilt Votes,%
2347,ARUSHA,268,WILAYA YA MONDULI,4,LONGIDO,JAKAYA MRISHO KIKWETE,CCM,M,22032,263,94
2347,ARUSHA,268,WILAYA YA MONDULI,4,LONGIDO,FREEMAN AIKAELI MBOWE,CHADEMA,M,1129,263,4.8
2347,ARUSHA,268,WILAYA YA MONDULI,4,LONGIDO,PROF IBRAHIM HARUNA LIPUMBA,CUF,M,171,263,0.7
2347,ARUSHA,268,WILAYA YA MONDULI,4,LONGIDO,EDMUND SENGONDO MVUNGI,NCCR-MAGEUZI,M,34,263,0.1
2347,ARUSHA,268,WILAYA YA MONDULI,4,LONGIDO,AUGUSTINE LYATONGA MREMA,TLP,M,23,263,0.1
2347,ARUSHA,268,WILAYA YA MONDULI,4,LONGIDO,MCHUNGAJI CHRISTOPHER MTIKILA,DP,M,11,263,0
2347,ARUSHA,268,WILAYA YA MONDULI,4,LONGIDO,PAUL HENRY KYARA,SAU,M,9,263,0
2347,ARUSHA,268,WILAYA YA MONDULI,4,LONGIDO,PROF LEONARD KANANGWE SHAYO,MAKINI,M,8,263,0
2347,ARUSHA,268,WILAYA YA MONDULI,4,LONGIDO,ANNA CLAUDIA SENKORO,PPT-Maendeleo,F,8,263,0
2347,ARUSHA,268,WILAYA YA MONDULI,4,LONGIDO,DR EMMANUEL JOHN MAKAIDI,NLD,M,6,263,0
Region,RegionID,District,DistrictID,Const,ConstID,Candidate,Party,Sex,Valid Votes,Spoilt Votes,%
2347,ARUSHA,268,WILAYA YA MONDULI,6,MONDULI,JAKAYA MRISHO KIKWETE,CCM,M,34694,546,93.3
2347,ARUSHA,268,WILAYA YA MONDULI,6,MONDULI,FREEMAN AIKAELI MBOWE,CHADEMA,M,1363,546,3.7
2347,ARUSHA,268,WILAYA YA MONDULI,6,MONDULI,PROF IBRAHIM HARUNA LIPUMBA,CUF,M,958,546,2.6
2347,ARUSHA,268,WILAYA YA MONDULI,6,MONDULI,AUGUSTINE LYATONGA MREMA,TLP,M,39,546,0.1
2347,ARUSHA,268,WILAYA YA MONDULI,6,MONDULI,EDMUND SENGONDO MVUNGI,NCCR-MAGEUZI,M,35,546,0.1
2347,ARUSHA,268,WILAYA YA MONDULI,6,MONDULI,MCHUNGAJI CHRISTOPHER MTIKILA,DP,M,31,546,0.1
2347,ARUSHA,268,WILAYA YA MONDULI,6,MONDULI,DR EMMANUEL JOHN MAKAIDI,NLD,M,18,546,0
2347,ARUSHA,268,WILAYA YA MONDULI,6,MONDULI,ANNA CLAUDIA SENKORO,PPT-Maendeleo,F,17,546,0
2347,ARUSHA,268,WILAYA YA MONDULI,6,MONDULI,PROF LEONARD KANANGWE SHAYO,MAKINI,M,10,546,0
2347,ARUSHA,268,WILAYA YA MONDULI,6,MONDULI,PAUL HENRY KYARA,SAU,M,9,546,0
Region,RegionID,District,DistrictID,Const,ConstID,Candidate,Party,Sex,Valid Votes,Spoilt Votes,%
2348,DAR ES SALAAM,270,MANISPAA YA ILALA,8,ILALA,JAKAYA MRISHO KIKWETE,CCM,M,37832,980,75.1
2348,DAR ES SALAAM,270,MANISPAA YA ILALA,8,ILALA,PROF IBRAHIM HARUNA LIPUMBA,CUF,M,9436,980,18.7
2348,DAR ES SALAAM,270,MANISPAA YA ILALA,8,ILALA,FREEMAN AIKAELI MBOWE,CHADEMA,M,2755,980,5.5
2348,DAR ES SALAAM,270,MANISPAA YA ILALA,8,ILALA,AUGUSTINE LYATONGA MREMA,TLP,M,160,980,0.3
2348,DAR ES SALAAM,270,MANISPAA YA ILALA,8,ILALA,MCHUNGAJI CHRISTOPHER MTIKILA,DP,M,56,980,0.1
2348,DAR ES SALAAM,270,MANISPAA YA ILALA,8,ILALA,EDMUND SENGONDO MVUNGI,NCCR-MAGEUZI,M,54,980,0.1
2348,DAR ES SALAAM,270,MANISPAA YA ILALA,8,ILALA,ANNA CLAUDIA SENKORO,PPT-Maendeleo,F,40,980,0.1
2348,DAR ES SALAAM,270,MANISPAA YA ILALA,8,ILALA,PAUL HENRY KYARA,SAU,M,25,980,0
2348,DAR ES SALAAM,270,MANISPAA YA ILALA,8,ILALA,DR EMMANUEL JOHN MAKAIDI,NLD,M,18,980,0
2348,DAR ES SALAAM,270,MANISPAA YA ILALA,8,ILALA,PROF LEONARD KANANGWE SHAYO,MAKINI,M,13,980,0
Region,RegionID,District,DistrictID,Const,ConstID,Candidate,Party,Sex,Valid Votes,Spoilt Votes,%
2348,DAR ES SALAAM,270,MANISPAA YA ILALA,9,UKONGA,JAKAYA MRISHO KIKWETE,CCM,M,144798,15171,71.9
2348,DAR ES SALAAM,270,MANISPAA YA ILALA,9,UKONGA,PROF IBRAHIM HARUNA LIPUMBA,CUF,M,44351,15171,22
2348,DAR ES SALAAM,270,MANISPAA YA ILALA,9,UKONGA,FREEMAN AIKAELI MBOWE,CHADEMA,M,9559,15171,4.7
2348,DAR ES SALAAM,270,MANISPAA YA ILALA,9,UKONGA,AUGUSTINE LYATONGA MREMA,TLP,M,1718,15171,0.9
2348,DAR ES SALAAM,270,MANISPAA YA ILALA,9,UKONGA,MCHUNGAJI CHRISTOPHER MTIKILA,DP,M,239,15171,0.1
2348,DAR ES SALAAM,270,MANISPAA YA ILALA,9,UKONGA,EDMUND SENGONDO MVUNGI,NCCR-MAGEUZI,M,205,15171,0.1
2348,DAR ES SALAAM,270,MANISPAA YA ILALA,9,UKONGA,ANNA CLAUDIA SENKORO,PPT-Maendeleo,F,145,15171,0.1
2348,DAR ES SALAAM,270,MANISPAA YA ILALA,9,UKONGA,DR EMMANUEL JOHN MAKAIDI,NLD,M,109,15171,0.1
2348,DAR ES SALAAM,270,MANISPAA YA ILALA,9,UKONGA,PAUL HENRY KYARA,SAU,M,83,15171,0
2348,DAR ES SALAAM,270,MANISPAA YA ILALA,9,UKONGA,PROF LEONARD KANANGWE SHAYO,MAKINI,M,74,15171,0
Region,RegionID,District,DistrictID,Const,ConstID,Candidate,Party,Sex,Valid Votes,Spoilt Votes,%
2348,DAR ES SALAAM,271,MANISPAA YA KINONDONI,10,KAWE,JAKAYA MRISHO KIKWETE,CCM,M,81170,4060,79.2
2348,DAR ES SALAAM,271,MANISPAA YA KINONDONI,10,KAWE,PROF IBRAHIM HARUNA LIPUMBA,CUF,M,11414,4060,11.1
2348,DAR ES SALAAM,271,MANISPAA YA KINONDONI,10,KAWE,FREEMAN AIKAELI MBOWE,CHADEMA,M,8881,4060,8.7
2348,DAR ES SALAAM,271,MANISPAA YA KINONDONI,10,KAWE,AUGUSTINE LYATONGA MREMA,TLP,M,678,4060,0.7
2348,DAR ES SALAAM,271,MANISPAA YA KINONDONI,10,KAWE,MCHUNGAJI CHRISTOPHER MTIKILA,DP,M,128,4060,0.1
2348,DAR ES SALAAM,271,MANISPAA YA KINONDONI,10,KAWE,EDMUND SENGONDO MVUNGI,NCCR-MAGEUZI,M,112,4060,0.1
2348,DAR ES SALAAM,271,MANISPAA YA KINONDONI,10,KAWE,PAUL HENRY KYARA,SAU,M,60,4060,0.1
2348,DAR ES SALAAM,271,MANISPAA YA KINONDONI,10,KAWE,ANNA CLAUDIA SENKORO,PPT-Maendeleo,F,50,4060,0
2348,DAR ES SALAAM,271,MANISPAA YA KINONDONI,10,KAWE,PROF LEONARD KANANGWE SHAYO,MAKINI,M,46,4060,0
2348,DAR ES SALAAM,271,MANISPAA YA KINONDONI,10,KAWE,DR EMMANUEL JOHN MAKAIDI,NLD,M,9,4060,0
Region,RegionID,District,DistrictID,Const,ConstID,Candidate,Party,Sex,Valid Votes,Spoilt Votes,%
2348,DAR ES SALAAM,271,MANISPAA YA KINONDONI,11,KINONDONI,JAKAYA MRISHO KIKWETE,CCM,M,97384,3776,69.7
2348,DAR ES SALAAM,271,MANISPAA YA KINONDONI,11,KINONDONI,PROF IBRAHIM HARUNA LIPUMBA,CUF,M,33932,3776,24.3
2348,DAR ES SALAAM,271,MANISPAA YA KINONDONI,11,KINONDONI,FREEMAN AIKAELI MBOWE,CHADEMA,M,7318,3776,5.2
2348,DAR ES SALAAM,271,MANISPAA YA KINONDONI,11,KINONDONI,AUGUSTINE LYATONGA MREMA,TLP,M,695,3776,0.5
2348,DAR ES SALAAM,271,MANISPAA YA KINONDONI,11,KINONDONI,MCHUNGAJI CHRISTOPHER MTIKILA,DP,M,119,3776,0.1
2348,DAR ES SALAAM,271,MANISPAA YA KINONDONI,11,KINONDONI,EDMUND SENGONDO MVUNGI,NCCR-MAGEUZI,M,112,3776,0.1
2348,DAR ES SALAAM,271,MANISPAA YA KINONDONI,11,KINONDONI,PAUL HENRY KYARA,SAU,M,76,3776,0.1
2348,DAR ES SALAAM,271,MANISPAA YA KINONDONI,11,KINONDONI,ANNA CLAUDIA SENKORO,PPT-Maendeleo,F,71,3776,0.1
2348,DAR ES SALAAM,271,MANISPAA YA KINONDONI,11,KINONDONI,DR EMMANUEL JOHN MAKAIDI,NLD,M,45,3776,0
2348,DAR ES SALAAM,271,MANISPAA YA KINONDONI,11,KINONDONI,PROF LEONARD KANANGWE SHAYO,MAKINI,M,41,3776,0
Region,RegionID,District,DistrictID,Const,ConstID,Candidate,Party,Sex,Valid Votes,Spoilt Votes,%
2348,DAR ES SALAAM,271,MANISPAA YA KINONDONI,12,UBUNGO,JAKAYA MRISHO KIKWETE,CCM,M,107733,3488,72.3
2348,DAR ES SALAAM,271,MANISPAA YA KINONDONI,12,UBUNGO,PROF IBRAHIM HARUNA LIPUMBA,CUF,M,24329,3488,16.3
2348,DAR ES SALAAM,271,MANISPAA YA KINONDONI,12,UBUNGO,FREEMAN AIKAELI MBOWE,CHADEMA,M,15065,3488,10.1
2348,DAR ES SALAAM,271,MANISPAA YA KINONDONI,12,UBUNGO,AUGUSTINE LYATONGA MREMA,TLP,M,1068,3488,0.7
2348,DAR ES SALAAM,271,MANISPAA YA KINONDONI,12,UBUNGO,EDMUND SENGONDO MVUNGI,NCCR-MAGEUZI,M,247,3488,0.2
2348,DAR ES SALAAM,271,MANISPAA YA KINONDONI,12,UBUNGO,MCHUNGAJI CHRISTOPHER MTIKILA,DP,M,182,3488,0.1
2348,DAR ES SALAAM,271,MANISPAA YA KINONDONI,12,UBUNGO,PAUL HENRY KYARA,SAU,M,138,3488,0.1
2348,DAR ES SALAAM,271,MANISPAA YA KINONDONI,12,UBUNGO,DR EMMANUEL JOHN MAKAIDI,NLD,M,112,3488,0.1
