Region,RegionID,District,DistrictID,Const,ConstID,Candidate,Party,Sex,Valid Votes,Spoilt Votes,%
2357,KUSINI UNGUJA,312,KATI,87,CHWAKA,JAKAYA MRISHO KIKWETE,CCM,M,10329,409,89.4
2357,KUSINI UNGUJA,312,KATI,87,CHWAKA,PROF IBRAHIM HARUNA LIPUMBA,CUF,M,1160,409,10
2357,KUSINI UNGUJA,312,KATI,87,CHWAKA,FREEMAN AIKAELI MBOWE,CHADEMA,M,20,409,0.2
2357,KUSINI UNGUJA,312,KATI,87,CHWAKA,EDMUND SENGONDO MVUNGI,NCCR-MAGEUZI,M,13,409,0.1
2357,KUSINI UNGUJA,312,KATI,87,CHWAKA,DR EMMANUEL JOHN MAKAIDI,NLD,M,8,409,0.1
2357,KUSINI UNGUJA,312,KATI,87,CHWAKA,ANNA CLAUDIA SENKORO,PPT-Maendeleo,F,8,409,0.1
2357,KUSINI UNGUJA,312,KATI,87,CHWAKA,MCHUNGAJI CHRISTOPHER MTIKILA,DP,M,7,409,0.1
2357,KUSINI UNGUJA,312,KATI,87,CHWAKA,AUGUSTINE LYATONGA MREMA,TLP,M,7,409,0.1
2357,KUSINI UNGUJA,312,KATI,87,CHWAKA,PROF LEONARD KANANGWE SHAYO,MAKINI,M,5,409,0
2357,KUSINI UNGUJA,312,KATI,87,CHWAKA,PAUL HENRY KYARA,SAU,M,3,409,0
Region,RegionID,District,DistrictID,Const,ConstID,Candidate,Party,Sex,Valid Votes,Spoilt Votes,%
2357,KUSINI UNGUJA,312,KATI,88,KOANI,JAKAYA MRISHO KIKWETE,CCM,M,8957,119,76.3
2357,KUSINI UNGUJA,312,KATI,88,KOANI,PROF IBRAHIM HARUNA LIPUMBA,CUF,M,2686,119,22.9
2357,KUSINI UNGUJA,312,KATI,88,KOANI,FREEMAN AIKAELI MBOWE,CHADEMA,M,32,119,0.3
2357,KUSINI UNGUJA,312,KATI,88,KOANI,EDMUND SENGONDO MVUNGI,NCCR-MAGEUZI,M,14,119,0.1
2357,KUSINI UNGUJA,312,KATI,88,KOANI,DR EMMANUEL JOHN MAKAIDI,NLD,M,12,119,0.1
2357,KUSINI UNGUJA,312,KATI,88,KOANI,ANNA CLAUDIA SENKORO,PPT-Maendeleo,F,11,119,0.1
2357,KUSINI UNGUJA,312,KATI,88,KOANI,PAUL HENRY KYARA,SAU,M,11,119,0.1
2357,KUSINI UNGUJA,312,KATI,88,KOANI,PROF LEONARD KANANGWE SHAYO,MAKINI,M,9,119,0.1
2357,KUSINI UNGUJA,312,KATI,88,KOANI,AUGUSTINE LYATONGA MREMA,TLP,M,8,119,0.1
2357,KUSINI UNGUJA,312,KATI,88,KOANI,MCHUNGAJI CHRISTOPHER MTIKILA,DP,M,6,119,0.1
