Region,RegionID,District,DistrictID,Const,ConstID,Candidate,Party,Sex,Valid Votes,Spoilt Votes,%
2367,RUKWA,370,WILAYA YA MPANDA,184,MPANDA MAGHARIBI,PROF IBRAHIM HARUNA LIPUMBA,CUF,M,2208,795,11.1
2367,RUKWA,370,WILAYA YA MPANDA,184,MPANDA MAGHARIBI,FREEMAN AIKAELI MBOWE,CHADEMA,M,881,795,4.4
2367,RUKWA,370,WILAYA YA MPANDA,184,MPANDA MAGHARIBI,EDMUND SENGONDO MVUNGI,NCCR-MAGEUZI,M,68,795,0.3
2367,RUKWA,370,WILAYA YA MPANDA,184,MPANDA MAGHARIBI,DR EMMANUEL JOHN MAKAIDI,NLD,M,46,795,0.2
2367,RUKWA,370,WILAYA YA MPANDA,184,MPANDA MAGHARIBI,ANNA CLAUDIA SENKORO,PPT-Maendeleo,F,43,795,0.2
2367,RUKWA,370,WILAYA YA MPANDA,184,MPANDA MAGHARIBI,AUGUSTINE LYATONGA MREMA,TLP,M,42,795,0.2
2367,RUKWA,370,WILAYA YA MPANDA,184,MPANDA MAGHARIBI,MCHUNGAJI CHRISTOPHER MTIKILA,DP,M,32,795,0.2
2367,RUKWA,370,WILAYA YA MPANDA,184,MPANDA MAGHARIBI,PAUL HENRY KYARA,SAU,M,32,795,0.2
2367,RUKWA,370,WILAYA YA MPANDA,184,MPANDA MAGHARIBI,PROF LEONARD KANANGWE SHAYO,MAKINI,M,28,795,0.1
Region,RegionID,District,DistrictID,Const,ConstID,Candidate,Party,Sex,Valid Votes,Spoilt Votes,%
2367,RUKWA,370,WILAYA YA MPANDA,185,MPANDA MASHARIKI,JAKAYA MRISHO KIKWETE,CCM,M,11665,188,74.5
2367,RUKWA,370,WILAYA YA MPANDA,185,MPANDA MASHARIKI,FREEMAN AIKAELI MBOWE,CHADEMA,M,3161,188,20.2
2367,RUKWA,370,WILAYA YA MPANDA,185,MPANDA MASHARIKI,PROF IBRAHIM HARUNA LIPUMBA,CUF,M,580,188,3.7
2367,RUKWA,370,WILAYA YA MPANDA,185,MPANDA MASHARIKI,AUGUSTINE LYATONGA MREMA,TLP,M,89,188,0.6
2367,RUKWA,370,WILAYA YA MPANDA,185,MPANDA MASHARIKI,MCHUNGAJI CHRISTOPHER MTIKILA,DP,M,81,188,0.5
2367,RUKWA,370,WILAYA YA MPANDA,185,MPANDA MASHARIKI,EDMUND SENGONDO MVUNGI,NCCR-MAGEUZI,M,35,188,0.2
2367,RUKWA,370,WILAYA YA MPANDA,185,MPANDA MASHARIKI,DR EMMANUEL JOHN MAKAIDI,NLD,M,14,188,0.1
2367,RUKWA,370,WILAYA YA MPANDA,185,MPANDA MASHARIKI,PROF LEONARD KANANGWE SHAYO,MAKINI,M,10,188,0.1
2367,RUKWA,370,WILAYA YA MPANDA,185,MPANDA MASHARIKI,ANNA CLAUDIA SENKORO,PPT-Maendeleo,F,9,188,0.1
2367,RUKWA,370,WILAYA YA MPANDA,185,MPANDA MASHARIKI,PAUL HENRY KYARA,SAU,M,9,188,0.1
Region,RegionID,District,DistrictID,Const,ConstID,Candidate,Party,Sex,Valid Votes,Spoilt Votes,%
2367,RUKWA,371,WILAYA YA NKASI,186,NKASI,JAKAYA MRISHO KIKWETE,CCM,M,52961,3127,89.7
2367,RUKWA,371,WILAYA YA NKASI,186,NKASI,FREEMAN AIKAELI MBOWE,CHADEMA,M,4276,3127,7.2
2367,RUKWA,371,WILAYA YA NKASI,186,NKASI,PROF IBRAHIM HARUNA LIPUMBA,CUF,M,734,3127,1.2
2367,RUKWA,371,WILAYA YA NKASI,186,NKASI,EDMUND SENGONDO MVUNGI,NCCR-MAGEUZI,M,267,3127,0.5
2367,RUKWA,371,WILAYA YA NKASI,186,NKASI,AUGUSTINE LYATONGA MREMA,TLP,M,232,3127,0.4
2367,RUKWA,371,WILAYA YA NKASI,186,NKASI,MCHUNGAJI CHRISTOPHER MTIKILA,DP,M,166,3127,0.3
2367,RUKWA,371,WILAYA YA NKASI,186,NKASI,PAUL HENRY KYARA,SAU,M,119,3127,0.2
2367,RUKWA,371,WILAYA YA NKASI,186,NKASI,DR EMMANUEL JOHN MAKAIDI,NLD,M,118,3127,0.2
2367,RUKWA,371,WILAYA YA NKASI,186,NKASI,PROF LEONARD KANANGWE SHAYO,MAKINI,M,88,3127,0.1
2367,RUKWA,371,WILAYA YA NKASI,186,NKASI,ANNA CLAUDIA SENKORO,PPT-Maendeleo,F,71,3127,0.1
Region,RegionID,District,DistrictID,Const,ConstID,Candidate,Party,Sex,Valid Votes,Spoilt Votes,%
2367,RUKWA,372,WILAYA YA SUMBAWANGA,187,KALAMBO,JAKAYA MRISHO KIKWETE,CCM,M,43037,2431,89.3
2367,RUKWA,372,WILAYA YA SUMBAWANGA,187,KALAMBO,AUGUSTINE LYATONGA MREMA,TLP,M,2417,2431,5
2367,RUKWA,372,WILAYA YA SUMBAWANGA,187,KALAMBO,FREEMAN AIKAELI MBOWE,CHADEMA,M,1092,2431,2.3
2367,RUKWA,372,WILAYA YA SUMBAWANGA,187,KALAMBO,PROF IBRAHIM HARUNA LIPUMBA,CUF,M,594,2431,1.2
2367,RUKWA,372,WILAYA YA SUMBAWANGA,187,KALAMBO,EDMUND SENGONDO MVUNGI,NCCR-MAGEUZI,M,506,2431,1.1
2367,RUKWA,372,WILAYA YA SUMBAWANGA,187,KALAMBO,MCHUNGAJI CHRISTOPHER MTIKILA,DP,M,143,2431,0.3
2367,RUKWA,372,WILAYA YA SUMBAWANGA,187,KALAMBO,PROF LEONARD KANANGWE SHAYO,MAKINI,M,110,2431,0.2
2367,RUKWA,372,WILAYA YA SUMBAWANGA,187,KALAMBO,DR EMMANUEL JOHN MAKAIDI,NLD,M,100,2431,0.2
2367,RUKWA,372,WILAYA YA SUMBAWANGA,187,KALAMBO,ANNA CLAUDIA SENKORO,PPT-Maendeleo,F,99,2431,0.2
2367,RUKWA,372,WILAYA YA SUMBAWANGA,187,KALAMBO,PAUL HENRY KYARA,SAU,M,72,2431,0.1
Region,RegionID,District,DistrictID,Const,ConstID,Candidate,Party,Sex,Valid Votes,Spoilt Votes,%
2367,RUKWA,372,WILAYA YA SUMBAWANGA,188,KWELA,JAKAYA MRISHO KIKWETE,CCM,M,61659,2819,94.3
2367,RUKWA,372,WILAYA YA SUMBAWANGA,188,KWELA,PROF IBRAHIM HARUNA LIPUMBA,CUF,M,996,2819,1.5
2367,RUKWA,372,WILAYA YA SUMBAWANGA,188,KWELA,FREEMAN AIKAELI MBOWE,CHADEMA,M,953,2819,1.5
2367,RUKWA,372,WILAYA YA SUMBAWANGA,188,KWELA,AUGUSTINE LYATONGA MREMA,TLP,M,781,2819,1.2
2367,RUKWA,372,WILAYA YA SUMBAWANGA,188,KWELA,EDMUND SENGONDO MVUNGI,NCCR-MAGEUZI,M,472,2819,0.7
2367,RUKWA,372,WILAYA YA SUMBAWANGA,188,KWELA,MCHUNGAJI CHRISTOPHER MTIKILA,DP,M,212,2819,0.3
2367,RUKWA,372,WILAYA YA SUMBAWANGA,188,KWELA,DR EMMANUEL JOHN MAKAIDI,NLD,M,98,2819,0.1
2367,RUKWA,372,WILAYA YA SUMBAWANGA,188,KWELA,PROF LEONARD KANANGWE SHAYO,MAKINI,M,96,2819,0.1
2367,RUKWA,372,WILAYA YA SUMBAWANGA,188,KWELA,ANNA CLAUDIA SENKORO,PPT-Maendeleo,F,69,2819,0.1
2367,RUKWA,372,WILAYA YA SUMBAWANGA,188,KWELA,PAUL HENRY KYARA,SAU,M,49,2819,0.1
Region,RegionID,District,DistrictID,Const,ConstID,Candidate,Party,Sex,Valid Votes,Spoilt Votes,%
2368,RUVUMA,374,WILAYA YA MBINGA,190,MBINGA MAGHARIBI,JAKAYA MRISHO KIKWETE,CCM,M,33148,1382,92.2
2368,RUVUMA,374,WILAYA YA MBINGA,190,MBINGA MAGHARIBI,FREEMAN AIKAELI MBOWE,CHADEMA,M,1110,1382,3.1
2368,RUVUMA,374,WILAYA YA MBINGA,190,MBINGA MAGHARIBI,PROF IBRAHIM HARUNA LIPUMBA,CUF,M,916,1382,2.5
2368,RUVUMA,374,WILAYA YA MBINGA,190,MBINGA MAGHARIBI,EDMUND SENGONDO MVUNGI,NCCR-MAGEUZI,M,483,1382,1.3
2368,RUVUMA,374,WILAYA YA MBINGA,190,MBINGA MAGHARIBI,AUGUSTINE LYATONGA MREMA,TLP,M,79,1382,0.2
2368,RUVUMA,374,WILAYA YA MBINGA,190,MBINGA MAGHARIBI,MCHUNGAJI CHRISTOPHER MTIKILA,DP,M,64,1382,0.2
2368,RUVUMA,374,WILAYA YA MBINGA,190,MBINGA MAGHARIBI,ANNA CLAUDIA SENKORO,PPT-Maendeleo,F,53,1382,0.1
2368,RUVUMA,374,WILAYA YA MBINGA,190,MBINGA MAGHARIBI,DR EMMANUEL JOHN MAKAIDI,NLD,M,46,1382,0.1
2368,RUVUMA,374,WILAYA YA MBINGA,190,MBINGA MAGHARIBI,PROF LEONARD KANANGWE SHAYO,MAKINI,M,37,1382,0.1
2368,RUVUMA,374,WILAYA YA MBINGA,190,MBINGA MAGHARIBI,PAUL HENRY KYARA,SAU,M,35,1382,0.1
Region,RegionID,District,DistrictID,Const,ConstID,Candidate,Party,Sex,Valid Votes,Spoilt Votes,%
2368,RUVUMA,374,WILAYA YA MBINGA,191,MBINGA MASHARIKI,JAKAYA MRISHO KIKWETE,CCM,M,87692,3406,94.3
2368,RUVUMA,374,WILAYA YA MBINGA,191,MBINGA MASHARIKI,FREEMAN AIKAELI MBOWE,CHADEMA,M,2682,3406,2.9
2368,RUVUMA,374,WILAYA YA MBINGA,191,MBINGA MASHARIKI,PROF IBRAHIM HARUNA LIPUMBA,CUF,M,1477,3406,1.6
2368,RUVUMA,374,WILAYA YA MBINGA,191,MBINGA MASHARIKI,EDMUND SENGONDO MVUNGI,NCCR-MAGEUZI,M,440,3406,0.5
2368,RUVUMA,374,WILAYA YA MBINGA,191,MBINGA MASHARIKI,AUGUSTINE LYATONGA MREMA,TLP,M,156,3406,0.2
2368,RUVUMA,374,WILAYA YA MBINGA,191,MBINGA MASHARIKI,DR EMMANUEL JOHN MAKAIDI,NLD,M,137,3406,0.1
2368,RUVUMA,374,WILAYA YA MBINGA,191,MBINGA MASHARIKI,MCHUNGAJI CHRISTOPHER MTIKILA,DP,M,116,3406,0.1
2368,RUVUMA,374,WILAYA YA MBINGA,191,MBINGA MASHARIKI,PROF LEONARD KANANGWE SHAYO,MAKINI,M,100,3406,0.1
2368,RUVUMA,374,WILAYA YA MBINGA,191,MBINGA MASHARIKI,ANNA CLAUDIA SENKORO,PPT-Maendeleo,F,96,3406,0.1
2368,RUVUMA,374,WILAYA YA MBINGA,191,MBINGA MASHARIKI,PAUL HENRY KYARA,SAU,M,87,3406,0.1
Region,RegionID,District,DistrictID,Const,ConstID,Candidate,Party,Sex,Valid Votes,Spoilt Votes,%
2368,RUVUMA,375,WILAYA YA NAMTUMBO,192,NAMTUMBO,JAKAYA MRISHO KIKWETE,CCM,M,38981,1832,77.6
2368,RUVUMA,375,WILAYA YA NAMTUMBO,192,NAMTUMBO,PROF IBRAHIM HARUNA LIPUMBA,CUF,M,10025,1832,20
2368,RUVUMA,375,WILAYA YA NAMTUMBO,192,NAMTUMBO,FREEMAN AIKAELI MBOWE,CHADEMA,M,618,1832,1.2
2368,RUVUMA,375,WILAYA YA NAMTUMBO,192,NAMTUMBO,EDMUND SENGONDO MVUNGI,NCCR-MAGEUZI,M,192,1832,0.4
2368,RUVUMA,375,WILAYA YA NAMTUMBO,192,NAMTUMBO,AUGUSTINE LYATONGA MREMA,TLP,M,136,1832,0.3
2368,RUVUMA,375,WILAYA YA NAMTUMBO,192,NAMTUMBO,DR EMMANUEL JOHN MAKAIDI,NLD,M,86,1832,0.2
2368,RUVUMA,375,WILAYA YA NAMTUMBO,192,NAMTUMBO,MCHUNGAJI CHRISTOPHER MTIKILA,DP,M,57,1832,0.1
2368,RUVUMA,375,WILAYA YA NAMTUMBO,192,NAMTUMBO,ANNA CLAUDIA SENKORO,PPT-Maendeleo,F,52,1832,0.1
2368,RUVUMA,375,WILAYA YA NAMTUMBO,192,NAMTUMBO,PROF LEONARD KANANGWE SHAYO,MAKINI,M,43,1832,0.1
2368,RUVUMA,375,WILAYA YA NAMTUMBO,192,NAMTUMBO,PAUL HENRY KYARA,SAU,M,41,1832,0.1
Region,RegionID,District,DistrictID,Const,ConstID,Candidate,Party,Sex,Valid Votes,Spoilt Votes,%
2368,RUVUMA,376,WILAYA YA SONGEA,193,PERAMIHO,JAKAYA MRISHO KIKWETE,CCM,M,45929,1442,91.5
2368,RUVUMA,376,WILAYA YA SONGEA,193,PERAMIHO,PROF IBRAHIM HARUNA LIPUMBA,CUF,M,2309,1442,4.6
2368,RUVUMA,376,WILAYA YA SONGEA,193,PERAMIHO,FREEMAN AIKAELI MBOWE,CHADEMA,M,1408,1442,2.8
2368,RUVUMA,376,WILAYA YA SONGEA,193,PERAMIHO,EDMUND SENGONDO MVUNGI,NCCR-MAGEUZI,M,145,1442,0.3
2368,RUVUMA,376,WILAYA YA SONGEA,193,PERAMIHO,AUGUSTINE LYATONGA MREMA,TLP,M,135,1442,0.3
2368,RUVUMA,376,WILAYA YA SONGEA,193,PERAMIHO,ANNA CLAUDIA SENKORO,PPT-Maendeleo,F,64,1442,0.1
2368,RUVUMA,376,WILAYA YA SONGEA,193,PERAMIHO,MCHUNGAJI CHRISTOPHER MTIKILA,DP,M,63,1442,0.1
2368,RUVUMA,376,WILAYA YA SONGEA,193,PERAMIHO,DR EMMANUEL JOHN MAKAIDI,NLD,M,53,1442,0.1
2368,RUVUMA,376,WILAYA YA SONGEA,193,PERAMIHO,PAUL HENRY KYARA,SAU,M,39,1442,0.1
2368,RUVUMA,376,WILAYA YA SONGEA,193,PERAMIHO,PROF LEONARD KANANGWE SHAYO,MAKINI,M,35,1442,0.1
Region,RegionID,District,DistrictID,Const,ConstID,Candidate,Party,Sex,Valid Votes,Spoilt Votes,%
2368,RUVUMA,377,WILAYA YA TUNDURU,194,TUNDURU,JAKAYA MRISHO KIKWETE,CCM,M,61082,5703,72.8
2368,RUVUMA,377,WILAYA YA TUNDURU,194,TUNDURU,PROF IBRAHIM HARUNA LIPUMBA,CUF,M,19322,5703,23
2368,RUVUMA,377,WILAYA YA TUNDURU,194,TUNDURU,FREEMAN AIKAELI MBOWE,CHADEMA,M,1870,5703,2.2
2368,RUVUMA,377,WILAYA YA TUNDURU,194,TUNDURU,EDMUND SENGONDO MVUNGI,NCCR-MAGEUZI,M,545,5703,0.6
2368,RUVUMA,377,WILAYA YA TUNDURU,194,TUNDURU,DR EMMANUEL JOHN MAKAIDI,NLD,M,303,5703,0.4
2368,RUVUMA,377,WILAYA YA TUNDURU,194,TUNDURU,MCHUNGAJI CHRISTOPHER MTIKILA,DP,M,262,5703,0.3
2368,RUVUMA,377,WILAYA YA TUNDURU,194,TUNDURU,PAUL HENRY KYARA,SAU,M,169,5703,0.2
2368,RUVUMA,377,WILAYA YA TUNDURU,194,TUNDURU,AUGUSTINE LYATONGA MREMA,TLP,M,133,5703,0.2
2368,RUVUMA,377,WILAYA YA TUNDURU,194,TUNDURU,ANNA CLAUDIA SENKORO,PPT-Maendeleo,F,132,5703,0.2
2368,RUVUMA,377,WILAYA YA TUNDURU,194,TUNDURU,PROF LEONARD KANANGWE SHAYO,MAKINI,M,131,5703,0.2
Region,RegionID,District,DistrictID,Const,ConstID,Candidate,Party,Sex,Valid Votes,Spoilt Votes,%
2369,SHINYANGA,378,MANISPAA YA SHINYANGA,195,SHINYANGA MJINI,JAKAYA MRISHO KIKWETE,CCM,M,36971,1722,76.5
2369,SHINYANGA,378,MANISPAA YA SHINYANGA,195,SHINYANGA MJINI,FREEMAN AIKAELI MBOWE,CHADEMA,M,10264,1722,21.2
2369,SHINYANGA,378,MANISPAA YA SHINYANGA,195,SHINYANGA MJINI,PROF IBRAHIM HARUNA LIPUMBA,CUF,M,854,1722,1.8
2369,SHINYANGA,378,MANISPAA YA SHINYANGA,195,SHINYANGA MJINI,EDMUND SENGONDO MVUNGI,NCCR-MAGEUZI,M,63,1722,0.1
2369,SHINYANGA,378,MANISPAA YA SHINYANGA,195,SHINYANGA MJINI,AUGUSTINE LYATONGA MREMA,TLP,M,33,1722,0.1
2369,SHINYANGA,378,MANISPAA YA SHINYANGA,195,SHINYANGA MJINI,PAUL HENRY KYARA,SAU,M,30,1722,0.1
2369,SHINYANGA,378,MANISPAA YA SHINYANGA,195,SHINYANGA MJINI,DR EMMANUEL JOHN MAKAIDI,NLD,M,26,1722,0.1
2369,SHINYANGA,378,MANISPAA YA SHINYANGA,195,SHINYANGA MJINI,ANNA CLAUDIA SENKORO,PPT-Maendeleo,F,24,1722,0
2369,SHINYANGA,378,MANISPAA YA SHINYANGA,195,SHINYANGA MJINI,PROF LEONARD KANANGWE SHAYO,MAKINI,M,20,1722,0
2369,SHINYANGA,378,MANISPAA YA SHINYANGA,195,SHINYANGA MJINI,MCHUNGAJI CHRISTOPHER MTIKILA,DP,M,20,1722,0
Region,RegionID,District,DistrictID,Const,ConstID,Candidate,Party,Sex,Valid Votes,Spoilt Votes,%
2369,SHINYANGA,379,WILAYA YA BARIADI,196,BARIADI MAGHARIBI,JAKAYA MRISHO KIKWETE,CCM,M,63598,6859,63
2369,SHINYANGA,379,WILAYA YA BARIADI,196,BARIADI MAGHARIBI,PROF IBRAHIM HARUNA LIPUMBA,CUF,M,26449,6859,26.2
2369,SHINYANGA,379,WILAYA YA BARIADI,196,BARIADI MAGHARIBI,FREEMAN AIKAELI MBOWE,CHADEMA,M,3657,6859,3.6
2369,SHINYANGA,379,WILAYA YA BARIADI,196,BARIADI MAGHARIBI,MCHUNGAJI CHRISTOPHER MTIKILA,DP,M,3314,6859,3.3
2369,SHINYANGA,379,WILAYA YA BARIADI,196,BARIADI MAGHARIBI,PROF LEONARD KANANGWE SHAYO,MAKINI,M,1844,6859,1.8
2369,SHINYANGA,379,WILAYA YA BARIADI,196,BARIADI MAGHARIBI,EDMUND SENGONDO MVUNGI,NCCR-MAGEUZI,M,575,6859,0.6
2369,SHINYANGA,379,WILAYA YA BARIADI,196,BARIADI MAGHARIBI,AUGUSTINE LYATONGA MREMA,TLP,M,510,6859,0.5
2369,SHINYANGA,379,WILAYA YA BARIADI,196,BARIADI MAGHARIBI,PAUL HENRY KYARA,SAU,M,502,6859,0.5
2369,SHINYANGA,379,WILAYA YA BARIADI,196,BARIADI MAGHARIBI,DR EMMANUEL JOHN MAKAIDI,NLD,M,369,6859,0.4
2369,SHINYANGA,379,WILAYA YA BARIADI,196,BARIADI MAGHARIBI,ANNA CLAUDIA SENKORO,PPT-Maendeleo,F,180,6859,0.2
Region,RegionID,District,DistrictID,Const,ConstID,Candidate,Party,Sex,Valid Votes,Spoilt Votes,%
2369,SHINYANGA,379,WILAYA YA BARIADI,197,BARIADI MASHARIKI,JAKAYA MRISHO KIKWETE,CCM,M,46369,4105,60.2
2369,SHINYANGA,379,WILAYA YA BARIADI,197,BARIADI MASHARIKI,PROF IBRAHIM HARUNA LIPUMBA,CUF,M,22056,4105,28.6
2369,SHINYANGA,379,WILAYA YA BARIADI,197,BARIADI MASHARIKI,MCHUNGAJI CHRISTOPHER MTIKILA,DP,M,3046,4105,4
2369,SHINYANGA,379,WILAYA YA BARIADI,197,BARIADI MASHARIKI,FREEMAN AIKAELI MBOWE,CHADEMA,M,2335,4105,3
2369,SHINYANGA,379,WILAYA YA BARIADI,197,BARIADI MASHARIKI,PAUL HENRY KYARA,SAU,M,1049,4105,1.4
2369,SHINYANGA,379,WILAYA YA BARIADI,197,BARIADI MASHARIKI,PROF LEONARD KANANGWE SHAYO,MAKINI,M,946,4105,1.2
2369,SHINYANGA,379,WILAYA YA BARIADI,197,BARIADI MASHARIKI,EDMUND SENGONDO MVUNGI,NCCR-MAGEUZI,M,434,4105,0.6
2369,SHINYANGA,379,WILAYA YA BARIADI,197,BARIADI MASHARIKI,DR EMMANUEL JOHN MAKAIDI,NLD,M,416,4105,0.5
2369,SHINYANGA,379,WILAYA YA BARIADI,197,BARIADI MASHARIKI,AUGUSTINE LYATONGA MREMA,TLP,M,256,4105,0.3
2369,SHINYANGA,379,WILAYA YA BARIADI,197,BARIADI MASHARIKI,ANNA CLAUDIA SENKORO,PPT-Maendeleo,F,161,4105,0.2
Region,RegionID,District,DistrictID,Const,ConstID,Candidate,Party,Sex,Valid Votes,Spoilt Votes,%
2369,SHINYANGA,380,WILAYA YA BUKOMBE,198,BUKOMBE,JAKAYA MRISHO KIKWETE,CCM,M,85323,8649,80.1
2369,SHINYANGA,380,WILAYA YA BUKOMBE,198,BUKOMBE,PROF IBRAHIM HARUNA LIPUMBA,CUF,M,16121,8649,15.1
2369,SHINYANGA,380,WILAYA YA BUKOMBE,198,BUKOMBE,FREEMAN AIKAELI MBOWE,CHADEMA,M,2945,8649,2.8
2369,SHINYANGA,380,WILAYA YA BUKOMBE,198,BUKOMBE,EDMUND SENGONDO MVUNGI,NCCR-MAGEUZI,M,663,8649,0.6
2369,SHINYANGA,380,WILAYA YA BUKOMBE,198,BUKOMBE,DR EMMANUEL JOHN MAKAIDI,NLD,M,421,8649,0.4
2369,SHINYANGA,380,WILAYA YA BUKOMBE,198,BUKOMBE,PAUL HENRY KYARA,SAU,M,280,8649,0.3
2369,SHINYANGA,380,WILAYA YA BUKOMBE,198,BUKOMBE,MCHUNGAJI CHRISTOPHER MTIKILA,DP,M,248,8649,0.2
2369,SHINYANGA,380,WILAYA YA BUKOMBE,198,BUKOMBE,ANNA CLAUDIA SENKORO,PPT-Maendeleo,F,237,8649,0.2
2369,SHINYANGA,380,WILAYA YA BUKOMBE,198,BUKOMBE,PROF LEONARD KANANGWE SHAYO,MAKINI,M,216,8649,0.2
2369,SHINYANGA,380,WILAYA YA BUKOMBE,198,BUKOMBE,AUGUSTINE LYATONGA MREMA,TLP,M,133,8649,0.1
Region,RegionID,District,DistrictID,Const,ConstID,Candidate,Party,Sex,Valid Votes,Spoilt Votes,%
2369,SHINYANGA,381,WILAYA YA KAHAMA,199,KAHAMA,JAKAYA MRISHO KIKWETE,CCM,M,76859,4944,79.9
2369,SHINYANGA,381,WILAYA YA KAHAMA,199,KAHAMA,PROF IBRAHIM HARUNA LIPUMBA,CUF,M,10615,4944,11
2369,SHINYANGA,381,WILAYA YA KAHAMA,199,KAHAMA,FREEMAN AIKAELI MBOWE,CHADEMA,M,6540,4944,6.8
2369,SHINYANGA,381,WILAYA YA KAHAMA,199,KAHAMA,EDMUND SENGONDO MVUNGI,NCCR-MAGEUZI,M,503,4944,0.5
2369,SHINYANGA,381,WILAYA YA KAHAMA,199,KAHAMA,AUGUSTINE LYATONGA MREMA,TLP,M,481,4944,0.5
2369,SHINYANGA,381,WILAYA YA KAHAMA,199,KAHAMA,MCHUNGAJI CHRISTOPHER MTIKILA,DP,M,295,4944,0.3
2369,SHINYANGA,381,WILAYA YA KAHAMA,199,KAHAMA,DR EMMANUEL JOHN MAKAIDI,NLD,M,270,4944,0.3
2369,SHINYANGA,381,WILAYA YA KAHAMA,199,KAHAMA,ANNA CLAUDIA SENKORO,PPT-Maendeleo,F,214,4944,0.2
2369,SHINYANGA,381,WILAYA YA KAHAMA,199,KAHAMA,PAUL HENRY KYARA,SAU,M,212,4944,0.2
2369,SHINYANGA,381,WILAYA YA KAHAMA,199,KAHAMA,PROF LEONARD KANANGWE SHAYO,MAKINI,M,165,4944,0.2
Region,RegionID,District,DistrictID,Const,ConstID,Candidate,Party,Sex,Valid Votes,Spoilt Votes,%
2369,SHINYANGA,381,WILAYA YA KAHAMA,200,MSALALA,JAKAYA MRISHO KIKWETE,CCM,M,58410,4581,83
2369,SHINYANGA,381,WILAYA YA KAHAMA,200,MSALALA,PROF IBRAHIM HARUNA LIPUMBA,CUF,M,7183,4581,10.2
2369,SHINYANGA,381,WILAYA YA KAHAMA,200,MSALALA,FREEMAN AIKAELI MBOWE,CHADEMA,M,3471,4581,4.9
2369,SHINYANGA,381,WILAYA YA KAHAMA,200,MSALALA,EDMUND SENGONDO MVUNGI,NCCR-MAGEUZI,M,333,4581,0.5
