Region,RegionID,District,DistrictID,Const,ConstID,Candidate,Party,Sex,Valid Votes,Spoilt Votes,%
2367,RUKWA,368,MANISPAA YA SUMBAWANGA,182,SUMBAWANGA MJINI,JAKAYA MRISHO KIKWETE,CCM,M,40790,1684,92.8
2367,RUKWA,368,MANISPAA YA SUMBAWANGA,182,SUMBAWANGA MJINI,FREEMAN AIKAELI MBOWE,CHADEMA,M,1627,1684,3.7
2367,RUKWA,368,MANISPAA YA SUMBAWANGA,182,SUMBAWANGA MJINI,AUGUSTINE LYATONGA MREMA,TLP,M,668,1684,1.5
2367,RUKWA,368,MANISPAA YA SUMBAWANGA,182,SUMBAWANGA MJINI,PROF IBRAHIM HARUNA LIPUMBA,CUF,M,532,1684,1.2
2367,RUKWA,368,MANISPAA YA SUMBAWANGA,182,SUMBAWANGA MJINI,EDMUND SENGONDO MVUNGI,NCCR-MAGEUZI,M,153,1684,0.3
2367,RUKWA,368,MANISPAA YA SUMBAWANGA,182,SUMBAWANGA MJINI,MCHUNGAJI CHRISTOPHER MTIKILA,DP,M,67,1684,0.2
2367,RUKWA,368,MANISPAA YA SUMBAWANGA,182,SUMBAWANGA MJINI,DR EMMANUEL JOHN MAKAIDI,NLD,M,34,1684,0.1
2367,RUKWA,368,MANISPAA YA SUMBAWANGA,182,SUMBAWANGA MJINI,ANNA CLAUDIA SENKORO,PPT-Maendeleo,F,31,1684,0.1
2367,RUKWA,368,MANISPAA YA SUMBAWANGA,182,SUMBAWANGA MJINI,PROF LEONARD KANANGWE SHAYO,MAKINI,M,23,1684,0.1
2367,RUKWA,368,MANISPAA YA SUMBAWANGA,182,SUMBAWANGA MJINI,PAUL HENRY KYARA,SAU,M,20,1684,0
Region,RegionID,District,DistrictID,Const,ConstID,Candidate,Party,Sex,Valid Votes,Spoilt Votes,%
2367,RUKWA,370,WILAYA YA MPANDA,183,MPANDA KATI,JAKAYA MRISHO KIKWETE,CCM,M,11665,188,74.5
2367,RUKWA,370,WILAYA YA MPANDA,183,MPANDA KATI,FREEMAN AIKAELI MBOWE,CHADEMA,M,3161,188,20.2
2367,RUKWA,370,WILAYA YA MPANDA,183,MPANDA KATI,PROF IBRAHIM HARUNA LIPUMBA,CUF,M,580,188,3.7
2367,RUKWA,370,WILAYA YA MPANDA,183,MPANDA KATI,AUGUSTINE LYATONGA MREMA,TLP,M,89,188,0.6
2367,RUKWA,370,WILAYA YA MPANDA,183,MPANDA KATI,MCHUNGAJI CHRISTOPHER MTIKILA,DP,M,81,188,0.5
2367,RUKWA,370,WILAYA YA MPANDA,183,MPANDA KATI,EDMUND SENGONDO MVUNGI,NCCR-MAGEUZI,M,35,188,0.2
2367,RUKWA,370,WILAYA YA MPANDA,183,MPANDA KATI,DR EMMANUEL JOHN MAKAIDI,NLD,M,14,188,0.1
2367,RUKWA,370,WILAYA YA MPANDA,183,MPANDA KATI,PROF LEONARD KANANGWE SHAYO,MAKINI,M,10,188,0.1
2367,RUKWA,370,WILAYA YA MPANDA,183,MPANDA KATI,ANNA CLAUDIA SENKORO,PPT-Maendeleo,F,9,188,0.1
2367,RUKWA,370,WILAYA YA MPANDA,183,MPANDA KATI,PAUL HENRY KYARA,SAU,M,9,188,0.1
Region,RegionID,District,DistrictID,Const,ConstID,Candidate,Party,Sex,Valid Votes,Spoilt Votes,%
2367,RUKWA,370,WILAYA YA MPANDA,184,MPANDA MAGHARIBI,JAKAYA MRISHO KIKWETE,CCM,M,16566,795,83.1
