,,,,,,,,,,
RegionID,Region,DistrictID,District,ConstID,Const,Candidates,Political Party,Total Votes,Spoiltvotes,Percentage Votes
27,TANGA,161,JIJI LA TANGA,398,TANGA MJINI,KIKWETE JAKAYA MRISHO,CCM,42628,1545,59.04
27,TANGA,161,JIJI LA TANGA,398,TANGA MJINI,LIPUMBA IBRAHIM HARUNA,CUF,20188,1545,27.96
27,TANGA,161,JIJI LA TANGA,398,TANGA MJINI,SLAA WILLIBROD PETER,CHADEMA,7353,1545,10.18
27,TANGA,161,JIJI LA TANGA,398,TANGA MJINI,KUGA PETER MZIRAY,APPT - MAENDELEO,306,1545,0.42
27,TANGA,161,JIJI LA TANGA,398,TANGA MJINI,RUNGWE HASHIM SPUNDA,NCCR-MAGEUZI,116,1545,0.16
27,TANGA,161,JIJI LA TANGA,398,TANGA MJINI,MGAYWA MUTTAMWEGA BHATT,TLP,42,1545,0.06
27,TANGA,161,JIJI LA TANGA,398,TANGA MJINI,DOVUTWA YAHMI NASSORO DOVUTWA,UPDP,29,1545,0.04
,,,,,,,,,,
,,,,,,,,,,
RegionID,Region,DistrictID,District,ConstID,Const,Candidates,Political Party,Total Votes,Spoiltvotes,Percentage Votes
27,TANGA,162,MJI WA KOROGWE,399,KOROGWE MJINI,KIKWETE JAKAYA MRISHO,CCM,10761,316,72.98
27,TANGA,162,MJI WA KOROGWE,399,KOROGWE MJINI,SLAA WILLIBROD PETER,CHADEMA,3135,316,21.26
27,TANGA,162,MJI WA KOROGWE,399,KOROGWE MJINI,LIPUMBA IBRAHIM HARUNA,CUF,394,316,2.67
27,TANGA,162,MJI WA KOROGWE,399,KOROGWE MJINI,KUGA PETER MZIRAY,APPT - MAENDELEO,110,316,0.75
27,TANGA,162,MJI WA KOROGWE,399,KOROGWE MJINI,RUNGWE HASHIM SPUNDA,NCCR-MAGEUZI,19,316,0.13
27,TANGA,162,MJI WA KOROGWE,399,KOROGWE MJINI,DOVUTWA YAHMI NASSORO DOVUTWA,UPDP,6,316,0.04
27,TANGA,162,MJI WA KOROGWE,399,KOROGWE MJINI,MGAYWA MUTTAMWEGA BHATT,TLP,5,316,0.03
,,,,,,,,,,
,,,,,,,,,,
RegionID,Region,DistrictID,District,ConstID,Const,Candidates,Political Party,Total Votes,Spoiltvotes,Percentage Votes
27,TANGA,163,WILAYA YA HANDENI,400,HANDENI,KIKWETE JAKAYA MRISHO,CCM,33831,1760,74.94
27,TANGA,163,WILAYA YA HANDENI,400,HANDENI,SLAA WILLIBROD PETER,CHADEMA,4453,1760,9.86
27,TANGA,163,WILAYA YA HANDENI,400,HANDENI,LIPUMBA IBRAHIM HARUNA,CUF,3939,1760,8.73
27,TANGA,163,WILAYA YA HANDENI,400,HANDENI,KUGA PETER MZIRAY,APPT - MAENDELEO,876,1760,1.94
27,TANGA,163,WILAYA YA HANDENI,400,HANDENI,RUNGWE HASHIM SPUNDA,NCCR-MAGEUZI,128,1760,0.28
27,TANGA,163,WILAYA YA HANDENI,400,HANDENI,DOVUTWA YAHMI NASSORO DOVUTWA,UPDP,97,1760,0.21
27,TANGA,163,WILAYA YA HANDENI,400,HANDENI,MGAYWA MUTTAMWEGA BHATT,TLP,60,1760,0.13
,,,,,,,,,,
,,,,,,,,,,
RegionID,Region,DistrictID,District,ConstID,Const,Candidates,Political Party,Total Votes,Spoiltvotes,Percentage Votes
27,TANGA,164,WILAYA YA KILINDI,401,KILINDI,KIKWETE JAKAYA MRISHO,CCM,30284,585,89.96
27,TANGA,164,WILAYA YA KILINDI,401,KILINDI,SLAA WILLIBROD PETER,CHADEMA,1788,585,5.31
27,TANGA,164,WILAYA YA KILINDI,401,KILINDI,LIPUMBA IBRAHIM HARUNA,CUF,458,585,1.36
27,TANGA,164,WILAYA YA KILINDI,401,KILINDI,KUGA PETER MZIRAY,APPT - MAENDELEO,457,585,1.36
27,TANGA,164,WILAYA YA KILINDI,401,KILINDI,RUNGWE HASHIM SPUNDA,NCCR-MAGEUZI,42,585,0.12
27,TANGA,164,WILAYA YA KILINDI,401,KILINDI,DOVUTWA YAHMI NASSORO DOVUTWA,UPDP,31,585,0.09
27,TANGA,164,WILAYA YA KILINDI,401,KILINDI,MGAYWA MUTTAMWEGA BHATT,TLP,20,585,0.06
,,,,,,,,,,
,,,,,,,,,,
RegionID,Region,DistrictID,District,ConstID,Const,Candidates,Political Party,Total Votes,Spoiltvotes,Percentage Votes
27,TANGA,165,WILAYA YA KOROGWE,402,KOROGWE VIJIJINI,KIKWETE JAKAYA MRISHO,CCM,40139,1630,81.93
27,TANGA,165,WILAYA YA KOROGWE,402,KOROGWE VIJIJINI,SLAA WILLIBROD PETER,CHADEMA,4201,1630,8.58
27,TANGA,165,WILAYA YA KOROGWE,402,KOROGWE VIJIJINI,LIPUMBA IBRAHIM HARUNA,CUF,2067,1630,4.22
27,TANGA,165,WILAYA YA KOROGWE,402,KOROGWE VIJIJINI,KUGA PETER MZIRAY,APPT - MAENDELEO,746,1630,1.52
27,TANGA,165,WILAYA YA KOROGWE,402,KOROGWE VIJIJINI,MGAYWA MUTTAMWEGA BHATT,TLP,81,1630,0.17
27,TANGA,165,WILAYA YA KOROGWE,402,KOROGWE VIJIJINI,DOVUTWA YAHMI NASSORO DOVUTWA,UPDP,63,1630,0.13
27,TANGA,165,WILAYA YA KOROGWE,402,KOROGWE VIJIJINI,RUNGWE HASHIM SPUNDA,NCCR-MAGEUZI,62,1630,0.13
,,,,,,,,,,
,,,,,,,,,,
