,,,,,,,,,,
RegionID,Region,DistrictID,District,ConstID,Const,Candidates,Political Party,Total Votes,Spoiltvotes,Percentage Votes
10,KILIMANJARO,68,MANISPAA YA MOSHI,240,MOSHI MJINI,SLAA WILLIBROD PETER,CHADEMA,25707,146,55.62
10,KILIMANJARO,68,MANISPAA YA MOSHI,240,MOSHI MJINI,KIKWETE JAKAYA MRISHO,CCM,20106,146,43.51
10,KILIMANJARO,68,MANISPAA YA MOSHI,240,MOSHI MJINI,LIPUMBA IBRAHIM HARUNA,CUF,135,146,0.29
10,KILIMANJARO,68,MANISPAA YA MOSHI,240,MOSHI MJINI,KUGA PETER MZIRAY,APPT - MAENDELEO,63,146,0.14
10,KILIMANJARO,68,MANISPAA YA MOSHI,240,MOSHI MJINI,MGAYWA MUTTAMWEGA BHATT,TLP,30,146,0.06
10,KILIMANJARO,68,MANISPAA YA MOSHI,240,MOSHI MJINI,RUNGWE HASHIM SPUNDA,NCCR-MAGEUZI,17,146,0.04
10,KILIMANJARO,68,MANISPAA YA MOSHI,240,MOSHI MJINI,DOVUTWA YAHMI NASSORO DOVUTWA,UPDP,11,146,0.02
,,,,,,,,,,
,,,,,,,,,,
RegionID,Region,DistrictID,District,ConstID,Const,Candidates,Political Party,Total Votes,Spoiltvotes,Percentage Votes
10,KILIMANJARO,69,WILAYA YA HAI,241,HAI,KIKWETE JAKAYA MRISHO,CCM,35910,176,64.85
10,KILIMANJARO,69,WILAYA YA HAI,241,HAI,SLAA WILLIBROD PETER,CHADEMA,18513,176,33.44
10,KILIMANJARO,69,WILAYA YA HAI,241,HAI,KUGA PETER MZIRAY,APPT - MAENDELEO,441,176,0.8
10,KILIMANJARO,69,WILAYA YA HAI,241,HAI,LIPUMBA IBRAHIM HARUNA,CUF,210,176,0.38
10,KILIMANJARO,69,WILAYA YA HAI,241,HAI,RUNGWE HASHIM SPUNDA,NCCR-MAGEUZI,59,176,0.11
