,,,,,,,,,,
RegionID,Region,DistrictID,District,ConstID,Const,Candidates,Political Party,Total Votes,Spoiltvotes,Percentage Votes
13,LINDI,79,MJI WA LINDI,263,LINDI MJINI,KIKWETE JAKAYA MRISHO,CCM,15951,508,61.09
13,LINDI,79,MJI WA LINDI,263,LINDI MJINI,LIPUMBA IBRAHIM HARUNA,CUF,7880,508,30.18
13,LINDI,79,MJI WA LINDI,263,LINDI MJINI,SLAA WILLIBROD PETER,CHADEMA,1474,508,5.65
13,LINDI,79,MJI WA LINDI,263,LINDI MJINI,KUGA PETER MZIRAY,APPT - MAENDELEO,169,508,0.65
13,LINDI,79,MJI WA LINDI,263,LINDI MJINI,RUNGWE HASHIM SPUNDA,NCCR-MAGEUZI,79,508,0.3
13,LINDI,79,MJI WA LINDI,263,LINDI MJINI,DOVUTWA YAHMI NASSORO DOVUTWA,UPDP,36,508,0.14
13,LINDI,79,MJI WA LINDI,263,LINDI MJINI,MGAYWA MUTTAMWEGA BHATT,TLP,14,508,0.05
,,,,,,,,,,
,,,,,,,,,,
RegionID,Region,DistrictID,District,ConstID,Const,Candidates,Political Party,Total Votes,Spoiltvotes,Percentage Votes
13,LINDI,80,WILAYA YA KILWA,264,KILWA KASKAZINI,KIKWETE JAKAYA MRISHO,CCM,12966,541,61
13,LINDI,80,WILAYA YA KILWA,264,KILWA KASKAZINI,LIPUMBA IBRAHIM HARUNA,CUF,6839,541,32.17
13,LINDI,80,WILAYA YA KILWA,264,KILWA KASKAZINI,SLAA WILLIBROD PETER,CHADEMA,437,541,2.06
13,LINDI,80,WILAYA YA KILWA,264,KILWA KASKAZINI,KUGA PETER MZIRAY,APPT - MAENDELEO,395,541,1.86
13,LINDI,80,WILAYA YA KILWA,264,KILWA KASKAZINI,RUNGWE HASHIM SPUNDA,NCCR-MAGEUZI,32,541,0.15
13,LINDI,80,WILAYA YA KILWA,264,KILWA KASKAZINI,DOVUTWA YAHMI NASSORO DOVUTWA,UPDP,25,541,0.12
13,LINDI,80,WILAYA YA KILWA,264,KILWA KASKAZINI,MGAYWA MUTTAMWEGA BHATT,TLP,21,541,0.1
,,,,,,,,,,
,,,,,,,,,,
RegionID,Region,DistrictID,District,ConstID,Const,Candidates,Political Party,Total Votes,Spoiltvotes,Percentage Votes
13,LINDI,80,WILAYA YA KILWA,265,KILWA KUSINI,KIKWETE JAKAYA MRISHO,CCM,14431,445,48.93
13,LINDI,80,WILAYA YA KILWA,265,KILWA KUSINI,LIPUMBA IBRAHIM HARUNA,CUF,13856,445,46.98
13,LINDI,80,WILAYA YA KILWA,265,KILWA KUSINI,SLAA WILLIBROD PETER,CHADEMA,523,445,1.77
13,LINDI,80,WILAYA YA KILWA,265,KILWA KUSINI,KUGA PETER MZIRAY,APPT - MAENDELEO,168,445,0.57
13,LINDI,80,WILAYA YA KILWA,265,KILWA KUSINI,RUNGWE HASHIM SPUNDA,NCCR-MAGEUZI,31,445,0.11
13,LINDI,80,WILAYA YA KILWA,265,KILWA KUSINI,MGAYWA MUTTAMWEGA BHATT,TLP,30,445,0.1
13,LINDI,80,WILAYA YA KILWA,265,KILWA KUSINI,DOVUTWA YAHMI NASSORO DOVUTWA,UPDP,12,445,0.04
,,,,,,,,,,
,,,,,,,,,,
RegionID,Region,DistrictID,District,ConstID,Const,Candidates,Political Party,Total Votes,Spoiltvotes,Percentage Votes
13,LINDI,80,WILAYA YA KILWA,264,KILWA KASKAZINI,KIKWETE JAKAYA MRISHO,CCM,12966,541,61
13,LINDI,80,WILAYA YA KILWA,264,KILWA KASKAZINI,LIPUMBA IBRAHIM HARUNA,CUF,6839,541,32.17
13,LINDI,80,WILAYA YA KILWA,264,KILWA KASKAZINI,SLAA WILLIBROD PETER,CHADEMA,437,541,2.06
13,LINDI,80,WILAYA YA KILWA,264,KILWA KASKAZINI,KUGA PETER MZIRAY,APPT - MAENDELEO,395,541,1.86
13,LINDI,80,WILAYA YA KILWA,264,KILWA KASKAZINI,RUNGWE HASHIM SPUNDA,NCCR-MAGEUZI,32,541,0.15
13,LINDI,80,WILAYA YA KILWA,264,KILWA KASKAZINI,DOVUTWA YAHMI NASSORO DOVUTWA,UPDP,25,541,0.12
13,LINDI,80,WILAYA YA KILWA,264,KILWA KASKAZINI,MGAYWA MUTTAMWEGA BHATT,TLP,21,541,0.1
,,,,,,,,,,
,,,,,,,,,,
RegionID,Region,DistrictID,District,ConstID,Const,Candidates,Political Party,Total Votes,Spoiltvotes,Percentage Votes
13,LINDI,80,WILAYA YA KILWA,265,KILWA KUSINI,KIKWETE JAKAYA MRISHO,CCM,14431,445,48.93
13,LINDI,80,WILAYA YA KILWA,265,KILWA KUSINI,LIPUMBA IBRAHIM HARUNA,CUF,13856,445,46.98
13,LINDI,80,WILAYA YA KILWA,265,KILWA KUSINI,SLAA WILLIBROD PETER,CHADEMA,523,445,1.77
13,LINDI,80,WILAYA YA KILWA,265,KILWA KUSINI,KUGA PETER MZIRAY,APPT - MAENDELEO,168,445,0.57
13,LINDI,80,WILAYA YA KILWA,265,KILWA KUSINI,RUNGWE HASHIM SPUNDA,NCCR-MAGEUZI,31,445,0.11
