,,,,,,,,,,
RegionID,Region,DistrictID,District,ConstID,Const,Candidates,Political Party,Total Votes,Spoiltvotes,Percentage Votes
3,DAR ES SALAAM,35,MANISPAA YA ILALA,177,ILALA,KIKWETE JAKAYA MRISHO,CCM,24737,387,62.77
3,DAR ES SALAAM,35,MANISPAA YA ILALA,177,ILALA,SLAA WILLIBROD PETER,CHADEMA,10008,387,25.4
3,DAR ES SALAAM,35,MANISPAA YA ILALA,177,ILALA,LIPUMBA IBRAHIM HARUNA,CUF,4130,387,10.48
3,DAR ES SALAAM,35,MANISPAA YA ILALA,177,ILALA,KUGA PETER MZIRAY,APPT - MAENDELEO,86,387,0.22
3,DAR ES SALAAM,35,MANISPAA YA ILALA,177,ILALA,RUNGWE HASHIM SPUNDA,NCCR-MAGEUZI,35,387,0.09
3,DAR ES SALAAM,35,MANISPAA YA ILALA,177,ILALA,MGAYWA MUTTAMWEGA BHATT,TLP,15,387,0.04
3,DAR ES SALAAM,35,MANISPAA YA ILALA,177,ILALA,DOVUTWA YAHMI NASSORO DOVUTWA,UPDP,10,387,0.03
,,,,,,,,,,
,,,,,,,,,,
RegionID,Region,DistrictID,District,ConstID,Const,Candidates,Political Party,Total Votes,Spoiltvotes,Percentage Votes
3,DAR ES SALAAM,35,MANISPAA YA ILALA,178,SEGEREA,KIKWETE JAKAYA MRISHO,CCM,50560,1720,48.09
3,DAR ES SALAAM,35,MANISPAA YA ILALA,178,SEGEREA,SLAA WILLIBROD PETER,CHADEMA,37694,1720,35.85
3,DAR ES SALAAM,35,MANISPAA YA ILALA,178,SEGEREA,LIPUMBA IBRAHIM HARUNA,CUF,14752,1720,14.03
3,DAR ES SALAAM,35,MANISPAA YA ILALA,178,SEGEREA,KUGA PETER MZIRAY,APPT - MAENDELEO,209,1720,0.2
3,DAR ES SALAAM,35,MANISPAA YA ILALA,178,SEGEREA,RUNGWE HASHIM SPUNDA,NCCR-MAGEUZI,116,1720,0.11
3,DAR ES SALAAM,35,MANISPAA YA ILALA,178,SEGEREA,MGAYWA MUTTAMWEGA BHATT,TLP,76,1720,0.07
3,DAR ES SALAAM,35,MANISPAA YA ILALA,178,SEGEREA,DOVUTWA YAHMI NASSORO DOVUTWA,UPDP,17,1720,0.02
,,,,,,,,,,
,,,,,,,,,,
RegionID,Region,DistrictID,District,ConstID,Const,Candidates,Political Party,Total Votes,Spoiltvotes,Percentage Votes
3,DAR ES SALAAM,35,MANISPAA YA ILALA,179,UKONGA,KIKWETE JAKAYA MRISHO,CCM,28662,910,53.62
3,DAR ES SALAAM,35,MANISPAA YA ILALA,179,UKONGA,SLAA WILLIBROD PETER,CHADEMA,19304,910,36.11
3,DAR ES SALAAM,35,MANISPAA YA ILALA,179,UKONGA,LIPUMBA IBRAHIM HARUNA,CUF,4203,910,7.86
3,DAR ES SALAAM,35,MANISPAA YA ILALA,179,UKONGA,KUGA PETER MZIRAY,APPT - MAENDELEO,268,910,0.5
3,DAR ES SALAAM,35,MANISPAA YA ILALA,179,UKONGA,RUNGWE HASHIM SPUNDA,NCCR-MAGEUZI,56,910,0.1
3,DAR ES SALAAM,35,MANISPAA YA ILALA,179,UKONGA,MGAYWA MUTTAMWEGA BHATT,TLP,32,910,0.06
3,DAR ES SALAAM,35,MANISPAA YA ILALA,179,UKONGA,DOVUTWA YAHMI NASSORO DOVUTWA,UPDP,22,910,0.04
,,,,,,,,,,
,,,,,,,,,,
RegionID,Region,DistrictID,District,ConstID,Const,Candidates,Political Party,Total Votes,Spoiltvotes,Percentage Votes
3,DAR ES SALAAM,35,MANISPAA YA ILALA,177,ILALA,KIKWETE JAKAYA MRISHO,CCM,24737,387,62.77
3,DAR ES SALAAM,35,MANISPAA YA ILALA,177,ILALA,SLAA WILLIBROD PETER,CHADEMA,10008,387,25.4
3,DAR ES SALAAM,35,MANISPAA YA ILALA,177,ILALA,LIPUMBA IBRAHIM HARUNA,CUF,4130,387,10.48
3,DAR ES SALAAM,35,MANISPAA YA ILALA,177,ILALA,KUGA PETER MZIRAY,APPT - MAENDELEO,86,387,0.22
3,DAR ES SALAAM,35,MANISPAA YA ILALA,177,ILALA,RUNGWE HASHIM SPUNDA,NCCR-MAGEUZI,35,387,0.09
3,DAR ES SALAAM,35,MANISPAA YA ILALA,177,ILALA,MGAYWA MUTTAMWEGA BHATT,TLP,15,387,0.04
3,DAR ES SALAAM,35,MANISPAA YA ILALA,177,ILALA,DOVUTWA YAHMI NASSORO DOVUTWA,UPDP,10,387,0.03
,,,,,,,,,,
,,,,,,,,,,
RegionID,Region,DistrictID,District,ConstID,Const,Candidates,Political Party,Total Votes,Spoiltvotes,Percentage Votes
3,DAR ES SALAAM,35,MANISPAA YA ILALA,178,SEGEREA,KIKWETE JAKAYA MRISHO,CCM,50560,1720,48.09
3,DAR ES SALAAM,35,MANISPAA YA ILALA,178,SEGEREA,SLAA WILLIBROD PETER,CHADEMA,37694,1720,35.85
3,DAR ES SALAAM,35,MANISPAA YA ILALA,178,SEGEREA,LIPUMBA IBRAHIM HARUNA,CUF,14752,1720,14.03
3,DAR ES SALAAM,35,MANISPAA YA ILALA,178,SEGEREA,KUGA PETER MZIRAY,APPT - MAENDELEO,209,1720,0.2
3,DAR ES SALAAM,35,MANISPAA YA ILALA,178,SEGEREA,RUNGWE HASHIM SPUNDA,NCCR-MAGEUZI,116,1720,0.11
3,DAR ES SALAAM,35,MANISPAA YA ILALA,178,SEGEREA,MGAYWA MUTTAMWEGA BHATT,TLP,76,1720,0.07
3,DAR ES SALAAM,35,MANISPAA YA ILALA,178,SEGEREA,DOVUTWA YAHMI NASSORO DOVUTWA,UPDP,17,1720,0.02
,,,,,,,,,,
