,,,,,,,,,,
RegionID,Region,DistrictID,District,ConstID,Const,Candidates,Political Party,Total Votes,Spoiltvotes,Percentage Votes
18,MOROGORO,107,MANISPAA YA MOROGORO,314,MOROGORO MJINI,KIKWETE JAKAYA MRISHO,CCM,39688,1196,58.99
18,MOROGORO,107,MANISPAA YA MOROGORO,314,MOROGORO MJINI,SLAA WILLIBROD PETER,CHADEMA,20788,1196,30.9
18,MOROGORO,107,MANISPAA YA MOROGORO,314,MOROGORO MJINI,LIPUMBA IBRAHIM HARUNA,CUF,4876,1196,7.25
18,MOROGORO,107,MANISPAA YA MOROGORO,314,MOROGORO MJINI,KUGA PETER MZIRAY,APPT - MAENDELEO,435,1196,0.65
18,MOROGORO,107,MANISPAA YA MOROGORO,314,MOROGORO MJINI,MGAYWA MUTTAMWEGA BHATT,TLP,150,1196,0.22
18,MOROGORO,107,MANISPAA YA MOROGORO,314,MOROGORO MJINI,RUNGWE HASHIM SPUNDA,NCCR-MAGEUZI,99,1196,0.15
18,MOROGORO,107,MANISPAA YA MOROGORO,314,MOROGORO MJINI,DOVUTWA YAHMI NASSORO DOVUTWA,UPDP,44,1196,0.07
,,,,,,,,,,
,,,,,,,,,,
RegionID,Region,DistrictID,District,ConstID,Const,Candidates,Political Party,Total Votes,Spoiltvotes,Percentage Votes
18,MOROGORO,108,WILAYA YA KILOMBERO,315,KILOMBERO,KIKWETE JAKAYA MRISHO,CCM,53346,2367,59.98
18,MOROGORO,108,WILAYA YA KILOMBERO,315,KILOMBERO,SLAA WILLIBROD PETER,CHADEMA,27760,2367,31.21
18,MOROGORO,108,WILAYA YA KILOMBERO,315,KILOMBERO,LIPUMBA IBRAHIM HARUNA,CUF,4193,2367,4.71
18,MOROGORO,108,WILAYA YA KILOMBERO,315,KILOMBERO,KUGA PETER MZIRAY,APPT - MAENDELEO,873,2367,0.98
18,MOROGORO,108,WILAYA YA KILOMBERO,315,KILOMBERO,RUNGWE HASHIM SPUNDA,NCCR-MAGEUZI,163,2367,0.18
18,MOROGORO,108,WILAYA YA KILOMBERO,315,KILOMBERO,DOVUTWA YAHMI NASSORO DOVUTWA,UPDP,119,2367,0.13
18,MOROGORO,108,WILAYA YA KILOMBERO,315,KILOMBERO,MGAYWA MUTTAMWEGA BHATT,TLP,117,2367,0.13
,,,,,,,,,,
,,,,,,,,,,
RegionID,Region,DistrictID,District,ConstID,Const,Candidates,Political Party,Total Votes,Spoiltvotes,Percentage Votes
18,MOROGORO,109,WILAYA YA KILOSA,316,GAIRO,KIKWETE JAKAYA MRISHO,CCM,25298,1180,85.98
18,MOROGORO,109,WILAYA YA KILOSA,316,GAIRO,SLAA WILLIBROD PETER,CHADEMA,2161,1180,7.34
18,MOROGORO,109,WILAYA YA KILOSA,316,GAIRO,KUGA PETER MZIRAY,APPT - MAENDELEO,495,1180,1.68
18,MOROGORO,109,WILAYA YA KILOSA,316,GAIRO,LIPUMBA IBRAHIM HARUNA,CUF,168,1180,0.57
18,MOROGORO,109,WILAYA YA KILOSA,316,GAIRO,RUNGWE HASHIM SPUNDA,NCCR-MAGEUZI,43,1180,0.15
18,MOROGORO,109,WILAYA YA KILOSA,316,GAIRO,MGAYWA MUTTAMWEGA BHATT,TLP,42,1180,0.14
18,MOROGORO,109,WILAYA YA KILOSA,316,GAIRO,DOVUTWA YAHMI NASSORO DOVUTWA,UPDP,37,1180,0.13
,,,,,,,,,,
,,,,,,,,,,
RegionID,Region,DistrictID,District,ConstID,Const,Candidates,Political Party,Total Votes,Spoiltvotes,Percentage Votes
18,MOROGORO,109,WILAYA YA KILOSA,317,KILOSA,KIKWETE JAKAYA MRISHO,CCM,30580,851,78.94
18,MOROGORO,109,WILAYA YA KILOSA,317,KILOSA,SLAA WILLIBROD PETER,CHADEMA,4022,851,10.38
18,MOROGORO,109,WILAYA YA KILOSA,317,KILOSA,LIPUMBA IBRAHIM HARUNA,CUF,2522,851,6.51
18,MOROGORO,109,WILAYA YA KILOSA,317,KILOSA,KUGA PETER MZIRAY,APPT - MAENDELEO,533,851,1.38
18,MOROGORO,109,WILAYA YA KILOSA,317,KILOSA,DOVUTWA YAHMI NASSORO DOVUTWA,UPDP,101,851,0.26
18,MOROGORO,109,WILAYA YA KILOSA,317,KILOSA,RUNGWE HASHIM SPUNDA,NCCR-MAGEUZI,74,851,0.19
18,MOROGORO,109,WILAYA YA KILOSA,317,KILOSA,MGAYWA MUTTAMWEGA BHATT,TLP,56,851,0.14
,,,,,,,,,,
,,,,,,,,,,
RegionID,Region,DistrictID,District,ConstID,Const,Candidates,Political Party,Total Votes,Spoiltvotes,Percentage Votes
